"spp","1","2","3","4","5","6","7","8"
"Ctenophorus_cristatus",NA,NA,NA,"1","1",NA,NA,NA
"Ctenophorus_decresii","1",NA,NA,"1",NA,NA,NA,NA
"Ctenophorus_femoralis",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenophorus_fionni",NA,NA,NA,"1",NA,NA,NA,NA
"Ctenophorus_fordi","1","1","1","1","1",NA,NA,NA
"Ctenophorus_gibba",NA,NA,NA,"1",NA,NA,NA,NA
"Ctenophorus_isolepis",NA,NA,"1","1","1",NA,"1",NA
"Ctenophorus_maculatus",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenophorus_maculosus",NA,NA,NA,"1",NA,NA,NA,NA
"Ctenophorus_mckenziei",NA,NA,NA,"1","1",NA,NA,NA
"Ctenophorus_nuchalis","1",NA,"1","1","1",NA,"1",NA
"Ctenophorus_ornatus",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenophorus_parviceps",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenophorus_pictus","1","1","1","1","1",NA,"1",NA
"Ctenophorus_reticulatus",NA,NA,NA,"1","1",NA,"1",NA
"Ctenophorus_rufescens",NA,NA,NA,"1","1",NA,"1",NA
"Ctenophorus_salinarum",NA,NA,NA,"1","1",NA,"1",NA
"Ctenophorus_scutulatus",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenophorus_tjantjalka",NA,NA,NA,"1",NA,NA,NA,NA
"Ctenophorus_vadnappa",NA,NA,NA,"1",NA,NA,NA,NA
"Ctenotus_alacer",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_allotropis","1",NA,"1",NA,NA,NA,NA,NA
"Ctenotus_ariadnae",NA,NA,"1","1","1",NA,NA,NA
"Ctenotus_arnhemensis",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_astarte",NA,NA,"1","1",NA,NA,NA,NA
"Ctenotus_astictus",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_atlas","1",NA,NA,"1","1",NA,NA,NA
"Ctenotus_borealis",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_brevipes",NA,NA,"1",NA,NA,NA,NA,NA
"Ctenotus_brooksi",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_calurus",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_catenifer",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_coggeri",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_colletti",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_decaneurus",NA,NA,"1",NA,"1",NA,"1",NA
"Ctenotus_dux",NA,NA,"1","1","1",NA,"1",NA
"Ctenotus_essingtonii",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_euclae",NA,NA,NA,"1","1",NA,NA,NA
"Ctenotus_eurydice","1",NA,"1",NA,NA,NA,NA,NA
"Ctenotus_fallens",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_gagudju",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_grandis",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_greeri",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_hanloni",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_hebetior",NA,NA,"1",NA,NA,NA,NA,NA
"Ctenotus_helenae",NA,NA,"1","1","1",NA,"1",NA
"Ctenotus_hilli",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_impar",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_ingrami","1",NA,"1",NA,NA,NA,NA,NA
"Ctenotus_inornatus",NA,NA,"1",NA,"1",NA,"1",NA
"Ctenotus_joanae",NA,NA,"1","1",NA,NA,"1",NA
"Ctenotus_kurnbudj",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_labillardieri",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_leae",NA,NA,"1","1","1",NA,"1",NA
"Ctenotus_leonhardii","1",NA,"1","1","1",NA,"1",NA
"Ctenotus_militaris",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_mimetes",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_nasutus",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_olympicus","1","1","1","1",NA,NA,"1",NA
"Ctenotus_orientalis","1","1",NA,"1","1",NA,NA,NA
"Ctenotus_pallescens",NA,NA,NA,NA,"1",NA,"1",NA
