"spp","1","2","3","4","5","6","7","8"
"Nyctimene_robinsoni","1",NA,"1",NA,NA,NA,NA,NA
"Nyctophilus_arnhemensis",NA,NA,"1",NA,"1",NA,"1",NA
"Nyctophilus_bifax","1",NA,"1",NA,NA,NA,NA,NA
"Nyctophilus_geoffroyi","1","1","1","1","1","1","1","1"
"Nyctophilus_gouldi","1","1","1","1","1",NA,NA,"1"
"Nyctophilus_major",NA,NA,NA,NA,"1",NA,NA,NA
"Nyctophilus_sherrini",NA,NA,NA,NA,NA,"1",NA,NA
"Nyctophilus_timoriensis","1","1","1","1","1","1",NA,NA
"Nyctophilus_walkeri",NA,NA,NA,NA,"1",NA,"1",NA
"Onychogalea_fraenata","1","1","1",NA,NA,NA,NA,NA
"Onychogalea_lunata",NA,NA,NA,"1","1",NA,"1",NA
"Onychogalea_unguifera",NA,NA,"1",NA,"1",NA,"1",NA
"Ornithorhynchus_anatinus","1","1","1","1",NA,"1",NA,"1"
"Perameles_gunnii",NA,"1",NA,NA,NA,"1",NA,NA
"Perameles_nasuta","1","1","1",NA,NA,"1",NA,"1"
"Petauroides_volans","1","1","1",NA,NA,NA,NA,"1"
"Petaurus_australis","1","1","1","1",NA,NA,NA,"1"
"Petaurus_breviceps","1","1","1","1","1","1","1","1"
"Petaurus_norfolcensis","1","1","1","1",NA,NA,NA,NA
"Petrogale_brachyotis",NA,NA,"1",NA,"1",NA,"1",NA
"Petrogale_coenensis",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_concinna",NA,NA,NA,NA,"1",NA,"1",NA
"Petrogale_godmani",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_herberti",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_inornata",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_lateralis",NA,NA,"1","1","1",NA,"1",NA
"Petrogale_mareeba",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_penicillata","1","1",NA,NA,NA,NA,NA,NA
"Petrogale_persephone",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_purpureicollis",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_rothschildi",NA,NA,NA,NA,"1",NA,NA,NA
"Petrogale_sharmani",NA,NA,"1",NA,NA,NA,NA,NA
"Petrogale_xanthopus","1",NA,"1","1",NA,NA,NA,NA
"Petropseudes_dahli",NA,NA,NA,NA,"1",NA,"1",NA
"Phascogale_calura",NA,NA,NA,NA,"1",NA,NA,NA
"Phascogale_pirata",NA,NA,NA,NA,NA,NA,"1",NA
"Phascogale_tapoatafa","1","1","1","1","1",NA,"1",NA
"Phascolarctos_cinereus","1","1","1","1",NA,NA,NA,"1"
"Pipistrellus_adamsi",NA,NA,"1",NA,NA,NA,"1",NA
"Pipistrellus_westralis",NA,NA,"1",NA,"1",NA,"1",NA
"Planigale_gilesi","1",NA,"1","1",NA,NA,"1",NA
"Planigale_ingrami",NA,NA,"1","1","1",NA,"1",NA
"Planigale_maculata","1",NA,"1",NA,"1",NA,"1",NA
"Planigale_tenuirostris","1",NA,"1","1",NA,NA,"1",NA
"Potorous_longipes","1","1",NA,NA,NA,NA,NA,NA
"Potorous_tridactylus","1","1",NA,"1",NA,"1",NA,NA
"Pseudantechinus_bilarni",NA,NA,NA,NA,NA,NA,"1",NA
"Pseudantechinus_macdonnellensis",NA,NA,NA,"1","1",NA,"1",NA
"Pseudantechinus_mimulus",NA,NA,NA,NA,NA,NA,"1",NA
"Pseudantechinus_ningbing",NA,NA,NA,NA,"1",NA,"1",NA
"Pseudocheirus_peregrinus","1","1","1","1",NA,"1",NA,"1"
"Pseudochirops_archeri",NA,NA,"1",NA,NA,NA,NA,NA
"Pseudochirulus_herbertensis",NA,NA,"1",NA,NA,NA,NA,NA
