"spp","1","2","3","4","5","6","7","8"
"Litoria_ewingii","1","1",NA,"1",NA,"1",NA,"1"
"Litoria_fallax","1","1","1",NA,NA,NA,NA,NA
"Litoria_freycineti","1",NA,"1",NA,NA,NA,NA,NA
"Litoria_genimaculata",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_gilleni",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_gracilenta","1",NA,"1",NA,NA,NA,NA,NA
"Litoria_inermis",NA,NA,"1",NA,"1",NA,"1",NA
"Litoria_infrafrenata",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_jervisiensis","1","1",NA,NA,NA,NA,NA,"1"
"Litoria_latopalmata","1",NA,"1","1",NA,NA,"1",NA
"Litoria_lesueuri","1","1",NA,NA,NA,NA,NA,"1"
"Litoria_littlejohni","1","1",NA,NA,NA,NA,NA,NA
"Litoria_longipes",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_maculosa",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_maini",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_meiriana",NA,NA,NA,NA,"1",NA,"1",NA
"Litoria_microbelos",NA,NA,"1",NA,"1",NA,"1",NA
"Litoria_moorei",NA,NA,NA,NA,"1",NA,NA,NA
"Litoria_nannotis",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_nasuta","1",NA,"1",NA,"1",NA,"1",NA
"Litoria_nigrofrenata",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_novaehollandiae",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_nudidigita","1","1",NA,NA,NA,NA,NA,NA
"Litoria_nyakalensis",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_olongburensis","1",NA,"1",NA,NA,NA,NA,NA
"Litoria_pallida",NA,NA,"1",NA,"1",NA,"1",NA
"Litoria_paraewingi","1","1",NA,NA,NA,NA,NA,NA
"Litoria_pearsoniana","1",NA,"1",NA,NA,NA,NA,NA
"Litoria_peronii","1","1","1","1",NA,NA,NA,"1"
"Litoria_personata",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_phyllochroa","1",NA,NA,NA,NA,NA,NA,NA
"Litoria_piperata","1",NA,NA,NA,NA,NA,NA,NA
"Litoria_platycephala",NA,NA,NA,NA,NA,NA,"1",NA
"Litoria_raniformis","1","1",NA,"1",NA,"1",NA,"1"
"Litoria_revelata","1",NA,"1",NA,NA,NA,NA,NA
