"spp","1","2","3","4","5","6","7","8"
"Artamus_personatus","1","1","1","1","1",NA,"1","1"
"Artamus_superciliosus","1","1","1","1","1",NA,"1","1"
"Ashbyia_lovensis","1",NA,"1","1",NA,NA,"1",NA
"Atrichornis_rufescens","1",NA,"1",NA,NA,NA,NA,NA
"Aviceda_subcristata","1",NA,"1",NA,"1",NA,"1",NA
"Aythya_australis","1","1","1","1","1","1","1","1"
"Barnardius_zonarius","1","1","1","1","1",NA,"1",NA
"Biziura_lobata","1","1","1","1","1","1",NA,"1"
"Botaurus_poiciloptilus","1","1","1","1","1","1",NA,NA
"Bulweria_bulwerii",NA,NA,NA,NA,NA,NA,NA,NA
"Burhinus_grallarius","1","1","1","1","1",NA,"1",NA
"Butorides_striatus","1","1","1",NA,"1",NA,"1",NA
"Cacatua_galerita","1","1","1","1","1","1","1","1"
"Cacatua_pastinator",NA,NA,NA,NA,"1",NA,NA,NA
"Cacatua_sanguinea","1","1","1","1","1","1","1","1"
"Cacatua_tenuirostris","1","1",NA,"1",NA,NA,NA,NA
"Cacomantis_castaneiventris",NA,NA,"1",NA,NA,NA,NA,NA
"Cacomantis_flabelliformis","1","1","1","1","1","1",NA,"1"
"Cacomantis_pallidus","1","1","1","1","1","1","1","1"
"Cacomantis_variolosus","1","1","1",NA,"1",NA,"1","1"
"Cairina_moschata","1","1","1","1",NA,NA,NA,"1"
"Calamanthus_campestris","1","1",NA,"1","1",NA,"1",NA
"Calamanthus_fuliginosus","1","1",NA,"1",NA,"1",NA,NA
"Calidris_acuminata","1","1","1","1","1","1","1","1"
"Calidris_alba","1","1","1","1","1","1","1",NA
"Calidris_canutus","1","1","1","1","1","1","1",NA
"Calidris_ferruginea","1","1","1","1","1","1","1","1"
"Calidris_melanotos","1","1","1","1","1","1","1","1"
"Calidris_minuta","1","1","1","1","1","1","1",NA
"Calidris_ruficollis","1","1","1","1","1","1","1","1"
"Calidris_subminuta","1","1","1","1","1",NA,"1","1"
"Calidris_tenuirostris","1","1","1","1","1","1","1",NA
"Callocephalon_fimbriatum","1","1",NA,"1",NA,NA,NA,"1"
"Calonectris_leucomelas","1","1",NA,NA,NA,NA,"1",NA
"Calyptorhynchus_banksii","1","1","1","1","1",NA,"1",NA
"Calyptorhynchus_baudinii",NA,NA,NA,NA,"1",NA,NA,NA
"Calyptorhynchus_funereus","1","1","1","1",NA,"1",NA,"1"
"Calyptorhynchus_lathami","1","1","1","1",NA,NA,NA,"1"
"Calyptorhynchus_latirostris",NA,NA,NA,NA,"1",NA,NA,NA
"Caprimulgus_macrurus",NA,NA,"1",NA,NA,NA,"1",NA
"Carduelis_carduelis","1","1",NA,"1",NA,"1",NA,"1"
"Carduelis_chloris","1","1",NA,"1",NA,"1",NA,NA
"Carterornis_leucotis","1",NA,"1",NA,NA,NA,NA,NA
"Casuarius_casuarius",NA,NA,"1",NA,NA,NA,NA,NA
"Centropus_phasianinus","1",NA,"1",NA,"1",NA,"1",NA
"Cereopsis_novaehollandiae",NA,"1",NA,"1","1","1",NA,NA
"Certhionyx_niger","1","1","1","1","1",NA,"1",NA
"Certhionyx_pectoralis",NA,NA,"1",NA,"1",NA,"1",NA
"Certhionyx_variegatus","1","1","1","1","1",NA,"1",NA
"Ceyx_azureus","1","1","1","1","1","1","1","1"
"Ceyx_pusilla",NA,NA,"1",NA,NA,NA,"1",NA
"Chalcites_basalis","1","1","1","1","1","1","1","1"
"Chalcites_lucidus","1","1","1","1","1","1",NA,"1"
"Chalcites_minutillus","1",NA,"1",NA,"1",NA,"1",NA
"Chalcites_osculans","1","1","1","1","1",NA,"1","1"
"Chalcophaps_indica","1",NA,"1",NA,"1",NA,"1",NA
"Charadrius_australis","1","1","1","1","1",NA,"1",NA
"Charadrius_bicinctus","1","1","1","1","1","1",NA,NA
"Charadrius_dubius","1",NA,"1","1","1","1","1",NA
"Charadrius_hiaticula","1","1","1","1",NA,NA,"1",NA
"Charadrius_leschenaultii","1","1","1","1","1","1","1",NA
"Charadrius_mongolus","1","1","1","1","1","1","1",NA
"Charadrius_ruficapillus","1","1","1","1","1","1","1","1"
"Charadrius_veredus",NA,NA,"1","1","1",NA,"1",NA
"Chenonetta_jubata","1","1","1","1","1","1","1","1"
"Cheramoeca_leucosterna","1","1","1","1","1",NA,"1",NA
"Chlidonias_hybrida","1","1","1","1","1",NA,"1","1"
"Chlidonias_leucopterus","1","1","1","1","1",NA,"1","1"
"Chloris_chloris","1","1",NA,"1",NA,"1",NA,"1"
"Chroicocephalus_novaehollandiae","1","1","1","1","1","1","1","1"
"Chrysococcyx_basalis","1","1","1","1","1","1","1","1"
"Chrysococcyx_lucidus","1","1","1","1","1","1","1","1"
"Chrysococcyx_minutillus","1",NA,"1",NA,"1",NA,"1",NA
"Chrysococcyx_osculans","1","1","1","1","1",NA,"1","1"
"Chthonicola_sagittata","1","1","1",NA,NA,NA,NA,"1"
"Cincloramphus_cruralis","1","1","1","1","1",NA,"1","1"
"Cincloramphus_mathewsi","1","1","1","1","1",NA,"1","1"
"Cinclosoma_castaneothorax","1",NA,"1",NA,"1",NA,"1",NA
"Cinclosoma_castanotum","1","1",NA,"1","1",NA,"1",NA
"Cinclosoma_cinnamomeum","1",NA,"1","1","1",NA,"1",NA
"Cinclosoma_punctatum","1","1","1","1",NA,"1",NA,"1"
"Circus_aeruginosus",NA,NA,NA,NA,"1","1",NA,NA
"Circus_approximans","1","1","1","1","1","1","1","1"
"Circus_assimilis","1","1","1","1","1",NA,"1","1"
"Cissomela_pectoralis",NA,NA,"1",NA,"1",NA,"1",NA
"Cisticola_exilis","1","1","1","1","1","1","1","1"
"Cisticola_juncidis",NA,NA,"1",NA,"1",NA,"1",NA
"Cladorhynchus_leucocephalus","1","1","1","1","1",NA,NA,NA
"Climacteris_affinis","1","1","1","1","1",NA,"1",NA
"Climacteris_erythrops","1","1","1",NA,NA,NA,NA,"1"
"Climacteris_melanura",NA,NA,"1",NA,"1",NA,"1",NA
"Climacteris_picumnus","1","1","1","1",NA,NA,NA,"1"
"Climacteris_rufa",NA,NA,NA,"1","1",NA,NA,NA
"Colluricincla_boweri",NA,NA,"1",NA,NA,NA,NA,NA
"Colluricincla_harmonica","1","1","1","1","1","1","1","1"
"Colluricincla_megarhyncha","1",NA,"1",NA,"1",NA,"1",NA
"Colluricincla_woodwardi",NA,NA,"1",NA,"1",NA,"1",NA
"Columba_leucomela","1","1","1",NA,NA,NA,NA,NA
"Columba_livia","1","1","1","1","1","1","1","1"
"Conopophila_albogularis",NA,NA,"1",NA,NA,NA,"1",NA
"Conopophila_rufogularis",NA,NA,"1",NA,"1",NA,"1",NA
"Conopophila_whitei",NA,NA,NA,"1","1",NA,"1",NA
"Coracina_lineata","1",NA,"1",NA,NA,NA,NA,NA
"Coracina_maxima","1","1","1","1","1",NA,"1",NA
"Coracina_novaehollandiae","1","1","1","1","1","1","1","1"
"Coracina_papuensis","1","1","1","1","1",NA,"1","1"
"Coracina_tenuirostris","1","1","1",NA,"1",NA,"1","1"
"Corcorax_melanorhamphos","1","1","1","1",NA,NA,NA,"1"
"Cormobates_leucophaea","1","1","1","1",NA,NA,NA,"1"
"Corvus_bennetti","1","1","1","1","1",NA,"1",NA
"Corvus_coronoides","1","1","1","1","1",NA,"1","1"
"Corvus_mellori","1","1",NA,"1",NA,"1",NA,"1"
"Corvus_orru","1",NA,"1","1","1",NA,"1",NA
"Corvus_splendens","1","1","1",NA,"1",NA,NA,NA
"Corvus_tasmanicus","1","1",NA,"1",NA,"1",NA,NA
"Coturnix_chinensis","1","1","1",NA,"1",NA,"1",NA
"Coturnix_pectoralis","1","1","1","1","1",NA,"1","1"
"Coturnix_ypsilophora","1","1","1","1","1","1","1","1"
"Cracticus_mentalis",NA,NA,"1",NA,NA,NA,NA,NA
"Cracticus_nigrogularis","1","1","1","1","1",NA,"1",NA
"Cracticus_quoyi",NA,NA,"1",NA,"1",NA,"1",NA
"Cracticus_tibicen","1","1","1","1","1","1","1","1"
"Cracticus_torquatus","1","1","1","1","1","1","1","1"
"Cuculus_optatus","1",NA,"1",NA,"1",NA,"1",NA
"Cuculus_pallidus","1","1","1","1","1","1","1","1"
"Cuculus_saturatus","1",NA,"1",NA,"1",NA,"1",NA
"Cyclopsitta_diophthalma","1",NA,"1",NA,NA,NA,NA,NA
"Cygnus_atratus","1","1","1","1","1","1","1","1"
"Cygnus_olor","1","1","1","1","1","1",NA,NA
"Dacelo_leachii",NA,NA,"1",NA,"1",NA,"1",NA
"Dacelo_novaeguineae","1","1","1","1","1",NA,NA,"1"
"Daphoenositta_chrysoptera","1","1","1","1","1",NA,"1","1"
"Daption_capense","1","1","1","1","1","1",NA,NA
"Dasyornis_brachypterus","1","1","1",NA,NA,NA,NA,NA
"Dasyornis_broadbenti",NA,"1",NA,"1",NA,NA,NA,NA
"Dasyornis_longirostris",NA,NA,NA,NA,"1",NA,NA,NA
"Dendrocygna_arcuata","1","1","1",NA,"1",NA,"1",NA
"Dendrocygna_eytoni","1","1","1","1","1",NA,"1","1"
"Dicaeum_hirundinaceum","1","1","1","1","1",NA,"1","1"
"Dicrurus_bracteatus","1",NA,"1",NA,"1",NA,"1",NA
"Diomedea_epomophora","1","1",NA,NA,"1","1",NA,NA
"Diomedea_exulans","1","1","1","1","1","1",NA,NA
"Dromaius_novaehollandiae","1","1","1","1","1",NA,"1","1"
"Drymodes_brunneopygia","1","1",NA,"1","1",NA,NA,NA
"Drymodes_superciliaris",NA,NA,"1",NA,NA,NA,NA,NA
"Ducula_bicolor","1",NA,"1",NA,"1",NA,"1",NA
"Eclectus_roratus",NA,NA,"1",NA,NA,NA,NA,NA
"Egretta_garzetta","1","1","1","1","1","1","1","1"
"Egretta_novaehollandiae","1","1","1","1","1","1","1","1"
"Egretta_picata",NA,NA,"1",NA,"1",NA,"1",NA
"Egretta_sacra","1","1","1","1","1","1","1",NA
"Elanus_axillaris","1","1","1","1","1",NA,"1","1"
"Elanus_caeruleus","1","1","1","1","1",NA,"1",NA
"Elanus_scriptus",NA,NA,"1","1",NA,NA,NA,NA
"Elseyornis_melanops","1","1","1","1","1","1","1","1"
"Emblema_pictum",NA,NA,"1","1","1",NA,"1",NA
"Entomyzon_cyanotis","1","1","1","1","1",NA,"1",NA
"Eolophus_roseicapillus","1","1","1","1","1","1","1","1"
"Eopsaltria_australis","1","1","1","1",NA,NA,NA,"1"
"Eopsaltria_georgiana",NA,NA,NA,NA,"1",NA,NA,NA
"Eopsaltria_griseogularis",NA,NA,NA,"1","1",NA,NA,NA
"Eopsaltria_pulverulenta",NA,NA,"1",NA,"1",NA,"1",NA
"Ephippiorhynchus_asiaticus","1",NA,"1",NA,"1",NA,"1",NA
"Epthianura_albifrons","1","1","1","1","1","1","1","1"
"Epthianura_aurifrons","1","1","1","1","1",NA,"1",NA
"Epthianura_crocea","1",NA,"1","1","1",NA,"1",NA
"Epthianura_tricolor","1","1","1","1","1",NA,"1","1"
"Eremiornis_carteri",NA,NA,"1","1","1",NA,"1",NA
"Erythrogonys_cinctus","1","1","1","1","1",NA,"1","1"
"Erythrotriorchis_radiatus","1",NA,"1",NA,"1",NA,"1",NA
"Erythrura_gouldiae",NA,NA,"1",NA,"1",NA,"1",NA
"Erythrura_trichroa",NA,NA,"1",NA,NA,NA,NA,NA
"Esacus_magnirostris","1","1","1",NA,"1",NA,"1",NA
"Eudynamys_orientalis","1",NA,"1","1","1",NA,"1",NA
"Eudyptes_chrysocome",NA,"1",NA,"1","1","1",NA,NA
"Eudyptes_chrysolophus","1","1",NA,"1",NA,"1",NA,NA
"Eudyptes_pachyrhynchus","1","1",NA,"1","1","1",NA,NA
"Eudyptula_minor","1","1","1","1","1","1",NA,"1"
"Eulabeornis_castaneoventris",NA,NA,"1",NA,"1",NA,"1",NA
"Eurostopodus_argus","1","1","1","1","1",NA,"1",NA
"Eurostopodus_mystacalis","1","1","1","1",NA,NA,NA,"1"
"Eurystomus_orientalis","1","1","1",NA,"1",NA,"1","1"
"Excalfactoria_chinensis","1","1","1","1","1","1","1","1"
"Falco_berigora","1","1","1","1","1","1","1","1"
"Falco_cenchroides","1","1","1","1","1","1","1","1"
"Falco_hypoleucos","1","1","1","1","1",NA,"1",NA
"Falco_longipennis","1","1","1","1","1","1","1","1"
"Falco_peregrinus","1","1","1","1","1","1","1","1"
"Falco_subniger","1","1","1","1","1",NA,"1","1"
"Falcunculus_frontatus","1","1","1","1","1",NA,"1","1"
"Fregata_ariel","1","1","1","1","1",NA,"1",NA
"Fregata_minor","1","1","1",NA,NA,NA,"1",NA
"Fregetta_tropica","1",NA,"1",NA,NA,NA,NA,NA
"Fulica_atra","1","1","1","1","1","1","1","1"
"Fulmarus_glacialoides","1","1","1","1","1","1",NA,NA
"Gallinago_hardwickii","1","1","1","1",NA,"1",NA,"1"
"Gallinago_megala",NA,NA,"1",NA,"1",NA,"1",NA
"Gallinula_tenebrosa","1","1","1","1","1","1","1","1"
"Gallirallus_philippensis","1","1","1","1","1",NA,"1","1"
"Gallus_gallus","1","1","1","1","1",NA,NA,NA
"Garrodia_nereis","1",NA,NA,NA,NA,"1",NA,NA
"Gelochelidon_nilotica","1","1","1","1","1",NA,"1",NA
"Geoffroyus_geoffroyi",NA,NA,"1",NA,NA,NA,NA,NA
"Geopelia_cuneata","1","1","1","1","1",NA,"1","1"
"Geopelia_humeralis","1",NA,"1",NA,"1",NA,"1",NA
"Geopelia_striata","1","1","1","1","1",NA,"1","1"
"Geophaps_plumifera",NA,NA,"1","1","1",NA,"1",NA
"Geophaps_scripta","1",NA,"1",NA,NA,NA,NA,NA
"Geophaps_smithii",NA,NA,NA,NA,"1",NA,"1",NA
"Gerygone_chloronota",NA,NA,NA,NA,"1",NA,"1",NA
"Gerygone_fusca","1","1","1","1","1",NA,"1","1"
