"spp","0","1","2","4","5","6","7","8","9","10","13","14","15","16","17","18","19","20","21","22","24","25","26","27","28","29","30","31","32","34","35","36","37","38","39","40","42","43","44","45","46","47","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63"
"Acanthophis_antarcticus",NA,"1","1","1","1","1","1","1",NA,"1","1",NA,NA,NA,NA,"1","1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,"1",NA,"1","1",NA,NA,"1","1",NA,NA,"1","1",NA
"Acanthophis_pyrrhus",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acritoscincus_duperreyi","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Acritoscincus_platynota","1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA
"Acritoscincus_trilineata",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acrochordus_arafurae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"Amphibolurus_muricatus","1",NA,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,"1","1","1","1","1",NA,"1",NA,NA,NA,"1","1","1",NA,"1","1",NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1"
"Amphibolurus_nobbi","1",NA,NA,NA,"1","1","1","1",NA,"1","1",NA,NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","1"
"Amphibolurus_norrisi",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"Anepischetosia_maccoyi","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"Anomalopus_brevicollis",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anomalopus_gowi",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anomalopus_leuckartii",NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anomalopus_mackayi",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"Anomalopus_swansoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anomalopus_verreauxii",NA,NA,NA,NA,"1","1",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
