xxyy"Carterornis leucotis"xxyy
xxyy"Casuarius casuarius"xxyy
xxyy"Centropus phasianinus"xxyy
xxyy"Cereopsis novaehollandiae"xxyy
xxyy"Certhionyx niger"xxyy
xxyy"Certhionyx pectoralis"xxyy
xxyy"Certhionyx variegatus"xxyy
xxyy"Ceyx azureus"xxyy
xxyy"Ceyx pusilla"xxyy
xxyy"Chalcites basalis"xxyy
xxyy"Chalcites lucidus"xxyy
xxyy"Chalcites minutillus"xxyy
xxyy"Chalcites osculans"xxyy
xxyy"Chalcophaps indica"xxyy
xxyy"Charadrius australis"xxyy
xxyy"Charadrius bicinctus"xxyy
xxyy"Charadrius dubius"xxyy
xxyy"Charadrius hiaticula"xxyy
xxyy"Charadrius leschenaultii"xxyy
xxyy"Charadrius mongolus"xxyy
xxyy"Charadrius ruficapillus"xxyy
xxyy"Charadrius veredus"xxyy
xxyy"Chenonetta jubata"xxyy
xxyy"Cheramoeca leucosterna"xxyy
xxyy"Chlidonias hybrida"xxyy
xxyy"Chlidonias leucopterus"xxyy
xxyy"Chloris chloris"xxyy
xxyy"Chroicocephalus novaehollandiae"xxyy
xxyy"Chrysococcyx basalis"xxyy
xxyy"Chrysococcyx lucidus"xxyy
xxyy"Chrysococcyx minutillus"xxyy
xxyy"Chrysococcyx osculans"xxyy
xxyy"Chthonicola sagittata"xxyy
xxyy"Cincloramphus cruralis"xxyy
xxyy"Cincloramphus mathewsi"xxyy
xxyy"Cinclosoma castaneothorax"xxyy
xxyy"Cinclosoma castanotum"xxyy
xxyy"Cinclosoma cinnamomeum"xxyy
xxyy"Cinclosoma punctatum"xxyy
xxyy"Circus aeruginosus"xxyy
xxyy"Circus approximans"xxyy
xxyy"Circus assimilis"xxyy
xxyy"Cissomela pectoralis"xxyy
xxyy"Cisticola exilis"xxyy
xxyy"Cisticola juncidis"xxyy
xxyy"Cladorhynchus leucocephalus"xxyy
xxyy"Climacteris affinis"xxyy
xxyy"Climacteris erythrops"xxyy
xxyy"Climacteris melanura"xxyy
xxyy"Climacteris picumnus"xxyy
xxyy"Climacteris rufa"xxyy
xxyy"Colluricincla boweri"xxyy
xxyy"Colluricincla harmonica"xxyy
xxyy"Colluricincla megarhyncha"xxyy
xxyy"Colluricincla woodwardi"xxyy
xxyy"Columba leucomela"xxyy
xxyy"Columba livia"xxyy
xxyy"Conopophila albogularis"xxyy
xxyy"Conopophila rufogularis"xxyy
xxyy"Conopophila whitei"xxyy
xxyy"Coracina lineata"xxyy
xxyy"Coracina maxima"xxyy
xxyy"Coracina novaehollandiae"xxyy
xxyy"Coracina papuensis"xxyy
xxyy"Coracina tenuirostris"xxyy
xxyy"Corcorax melanorhamphos"xxyy
xxyy"Cormobates leucophaea"xxyy
xxyy"Corvus bennetti"xxyy
xxyy"Corvus coronoides"xxyy
xxyy"Corvus mellori"xxyy
xxyy"Corvus orru"xxyy
xxyy"Corvus splendens"xxyy
xxyy"Corvus tasmanicus"xxyy
xxyy"Coturnix chinensis"xxyy
xxyy"Coturnix pectoralis"xxyy
xxyy"Coturnix ypsilophora"xxyy
xxyy"Cracticus mentalis"xxyy
xxyy"Cracticus nigrogularis"xxyy
xxyy"Cracticus quoyi"xxyy
xxyy"Cracticus tibicen"xxyy
xxyy"Cracticus torquatus"xxyy
xxyy"Cuculus optatus"xxyy
xxyy"Cuculus pallidus"xxyy
xxyy"Cuculus saturatus"xxyy
xxyy"Cyclopsitta diophthalma"xxyy
xxyy"Cygnus atratus"xxyy
xxyy"Cygnus olor"xxyy
xxyy"Dacelo leachii"xxyy
xxyy"Dacelo novaeguineae"xxyy
xxyy"Daphoenositta chrysoptera"xxyy
xxyy"Daption capense"xxyy
xxyy"Dasyornis brachypterus"xxyy
xxyy"Dasyornis broadbenti"xxyy
xxyy"Dasyornis longirostris"xxyy
xxyy"Dendrocygna arcuata"xxyy
xxyy"Dendrocygna eytoni"xxyy
xxyy"Dicaeum hirundinaceum"xxyy
xxyy"Dicrurus bracteatus"xxyy
xxyy"Diomedea epomophora"xxyy
xxyy"Diomedea exulans"xxyy
xxyy"Dromaius novaehollandiae"xxyy
xxyy"Drymodes brunneopygia"xxyy
xxyy"Drymodes superciliaris"xxyy
xxyy"Ducula bicolor"xxyy
xxyy"Eclectus roratus"xxyy
xxyy"Egretta garzetta"xxyy
xxyy"Egretta novaehollandiae"xxyy
xxyy"Egretta picata"xxyy
xxyy"Egretta sacra"xxyy
xxyy"Elanus axillaris"xxyy
xxyy"Elanus caeruleus"xxyy
xxyy"Elanus scriptus"xxyy
xxyy"Elseyornis melanops"xxyy
xxyy"Emblema pictum"xxyy
xxyy"Entomyzon cyanotis"xxyy
xxyy"Eolophus roseicapillus"xxyy
xxyy"Eopsaltria australis"xxyy
xxyy"Eopsaltria georgiana"xxyy
xxyy"Eopsaltria griseogularis"xxyy
xxyy"Eopsaltria pulverulenta"xxyy
xxyy"Ephippiorhynchus asiaticus"xxyy
xxyy"Epthianura albifrons"xxyy
xxyy"Epthianura aurifrons"xxyy
xxyy"Epthianura crocea"xxyy
xxyy"Epthianura tricolor"xxyy
xxyy"Eremiornis carteri"xxyy
xxyy"Erythrogonys cinctus"xxyy
xxyy"Erythrotriorchis radiatus"xxyy
xxyy"Erythrura gouldiae"xxyy
xxyy"Erythrura trichroa"xxyy
xxyy"Esacus magnirostris"xxyy
xxyy"Eudynamys orientalis"xxyy
xxyy"Eudyptes chrysocome"xxyy
xxyy"Eudyptes chrysolophus"xxyy
xxyy"Eudyptes pachyrhynchus"xxyy
xxyy"Eudyptula minor"xxyy
xxyy"Eulabeornis castaneoventris"xxyy
xxyy"Eurostopodus argus"xxyy
xxyy"Eurostopodus mystacalis"xxyy
xxyy"Eurystomus orientalis"xxyy
xxyy"Excalfactoria chinensis"xxyy
xxyy"Falco berigora"xxyy
xxyy"Falco cenchroides"xxyy
xxyy"Falco hypoleucos"xxyy
xxyy"Falco longipennis"xxyy
xxyy"Falco peregrinus"xxyy
xxyy"Falco subniger"xxyy
xxyy"Falcunculus frontatus"xxyy
xxyy"Fregata ariel"xxyy
xxyy"Fregata minor"xxyy
xxyy"Fregetta tropica"xxyy
xxyy"Fulica atra"xxyy
xxyy"Fulmarus glacialoides"xxyy
xxyy"Gallinago hardwickii"xxyy
xxyy"Gallinago megala"xxyy
xxyy"Gallinula tenebrosa"xxyy
xxyy"Gallirallus philippensis"xxyy
