xxyy"Streptopelia roseogrisea"xxyy
xxyy"Streptopelia senegalensis"xxyy
xxyy"Struthidea cinerea"xxyy
xxyy"Sturnus tristis"xxyy
xxyy"Sturnus vulgaris"xxyy
xxyy"Sugomel niger"xxyy
xxyy"Sula dactylatra"xxyy
xxyy"Sula leucogaster"xxyy
xxyy"Sula sula"xxyy
xxyy"Syma torotoro"xxyy
xxyy"Symposiachrus trivirgatus"xxyy
xxyy"Tachybaptus novaehollandiae"xxyy
xxyy"Tadorna radjah"xxyy
xxyy"Tadorna tadornoides"xxyy
xxyy"Taeniopygia bichenovii"xxyy
xxyy"Taeniopygia guttata"xxyy
xxyy"Tanysiptera sylvia"xxyy
xxyy"Thalassarche bulleri"xxyy
xxyy"Thalassarche cauta"xxyy
xxyy"Thalassarche chlororhynchos"xxyy
xxyy"Thalassarche chrysostoma"xxyy
xxyy"Thalassarche melanophris"xxyy
xxyy"Thalasseus bengalensis"xxyy
xxyy"Thalasseus bergii"xxyy
xxyy"Thalassoica antarctica"xxyy
xxyy"Thinornis rubricollis"xxyy
xxyy"Threskiornis molucca"xxyy
xxyy"Threskiornis spinicollis"xxyy
xxyy"Todiramphus chloris"xxyy
xxyy"Todiramphus macleayii"xxyy
xxyy"Todiramphus pyrrhopygius"xxyy
xxyy"Todiramphus sanctus"xxyy
xxyy"Tregellasia capito"xxyy
xxyy"Tregellasia leucops"xxyy
xxyy"Tribonyx mortierii"xxyy
xxyy"Tribonyx ventralis"xxyy
xxyy"Trichodere cockerelli"xxyy
xxyy"Trichoglossus chlorolepidotus"xxyy
xxyy"Trichoglossus haematodus"xxyy
xxyy"Tringa brevipes"xxyy
xxyy"Tringa glareola"xxyy
xxyy"Tringa incana"xxyy
xxyy"Tringa nebularia"xxyy
xxyy"Tringa stagnatilis"xxyy
xxyy"Tringa totanus"xxyy
xxyy"Tryngites subruficollis"xxyy
xxyy"Turdus merula"xxyy
xxyy"Turdus philomelos"xxyy
xxyy"Turnix castanotus"xxyy
xxyy"Turnix maculosus"xxyy
xxyy"Turnix melanogaster"xxyy
xxyy"Turnix pyrrhothorax"xxyy
xxyy"Turnix varius"xxyy
xxyy"Turnix velox"xxyy
xxyy"Tyto alba"xxyy
xxyy"Tyto capensis"xxyy
xxyy"Tyto javanica"xxyy
xxyy"Tyto longimembris"xxyy
xxyy"Tyto novaehollandiae"xxyy
xxyy"Tyto tenebricosa"xxyy
xxyy"Vanellus miles"xxyy
xxyy"Vanellus tricolor"xxyy
xxyy"Xanthotis flaviventer"xxyy
xxyy"Xanthotis macleayanus"xxyy
xxyy"Xenus cinereus"xxyy
xxyy"Zoothera heinei"xxyy
xxyy"Zoothera lunulata"xxyy
xxyy"Zosterops lateralis"xxyy
xxyy"Zosterops luteus"xxyy
